Date,facility_name,Malaria_cases_OPD
1/1/2022,Agahabwa CS,141
1/1/2022,Arusha CS,0
1/1/2022,Avega Clinic,1
1/1/2022,Avega Rwamagana CS,16
1/1/2022,Bethsaida CS,27
1/1/2022,Bien Naitre CLIN,0
1/1/2022,Bigogwe CS,2
1/1/2022,Bigugu CS,2
1/1/2022,Biguhu CS,12
1/1/2022,Birambo CS,5
1/1/2022,Birembo CS,4
1/1/2022,Biruyi CS,6
1/1/2022,Biryogo CS,60
1/1/2022,Bisate CS,0
1/1/2022,Bisesero (karongi) CS,9
1/1/2022,Bitenga CS,0
1/1/2022,Bubangu CS,6
1/1/2022,Bubazi CS,0
1/1/2022,Bugaragara CS,81
1/1/2022,Bugarama (rusizi) CS,22
1/1/2022,Bugarura CS,4
1/1/2022,Bugesera Prison,0
1/1/2022,Bugeshi CS,12
1/1/2022,Buhabwa CS,82
1/1/2022,Bukora CS,16
1/1/2022,Bumbogo (ex-Gikomero I) CS,448
1/1/2022,Bungwe (burera) CS,14
1/1/2022,Buramba CS,1
1/1/2022,Burega CS,34
1/1/2022,Buruhukiro CS,3
1/1/2022,Busanza CS,190
1/1/2022,Busasamana CS,3
1/1/2022,Busengo CS,3
1/1/2022,Bushara CS,1
1/1/2022,Bushenge CS,3
1/1/2022,Bushenge PH,0
1/1/2022,Bushoka CS,5
1/1/2022,Busigari CS,12
1/1/2022,Busogo CS,1
1/1/2022,Busoro-gishamvu CS,113
1/1/2022,Busoro CS,46
1/1/2022,Butamwa CS,29
1/1/2022,Butare Chu Hnr (huye),0
1/1/2022,Butaro CS,6
1/1/2022,Butaro DH,0
1/1/2022,Buyoga CS,9
1/1/2022,Bweyeye CS,10
1/1/2022,Bwisige CS,4
1/1/2022,Byahi (rubavu) CS,117
1/1/2022,Byimana CS,16
1/1/2022,Byumba CS,2
1/1/2022,Byumba DH,0
1/1/2022,Camp Nyabiheke CS,8
1/1/2022,Caraes Ndera Hnr,0
1/1/2022,Carrefour CLIN,8
1/1/2022,Centre Médical BAHO,2
1/1/2022,CHK(CHUK) HNR,0
1/1/2022,Coko (ruli) CS,1
1/1/2022,Coko CS,192
1/1/2022,Cor-unum CS,84
1/1/2022,Crete Congo Nil CS,8
1/1/2022,CUSP Butare CS,10
1/1/2022,Cyabayaga CS,9
1/1/2022,Cyabingo CS,28
1/1/2022,Cyahinda CS,43
1/1/2022,Cyanika (burera) CS,5
1/1/2022,Cyanika (nyamagabe) CS,458
1/1/2022,Cyaratsi CS,2
1/1/2022,Cyarubare CS,29
1/1/2022,Cyeru CS,78
1/1/2022,Cyimbili CS,48
1/1/2022,Cyivugiza (Nyamasheke) CS,3
1/1/2022,Cyondo CS,1
1/1/2022,Cyumba CS,2
1/1/2022,Dream Medical Center Hospital,0
1/1/2022,Gacuba Ii CS,40
1/1/2022,Gahanga CS,56
1/1/2022,Gahara CS,105
1/1/2022,Gahengeri CS,13
1/1/2022,Gahini CS,1
1/1/2022,Gahini DH,0
1/1/2022,Gahombo CS,15
1/1/2022,Gahunga CS,2
1/1/2022,Gakamba CS,1
1/1/2022,Gakenke CS,7
1/1/2022,Gakoma CS,59
1/1/2022,Gakoma DH,1
1/1/2022,Gakurazo CS,6
1/1/2022,Galien Clin,16
1/1/2022,Gasagara (ex-birehe) CS,231
1/1/2022,Gasange CS,117
1/1/2022,Gasetsa CS,2
1/1/2022,Gashaki CS,4
1/1/2022,Gashanda CS,0
1/1/2022,Gashongora CS,22
1/1/2022,Gashonyi CS,30
1/1/2022,Gashora CS,8
1/1/2022,Gashubi CS,1
1/1/2022,Gasiza (musanze) CS,5
1/1/2022,Gasovu CS,7
1/1/2022,Gatagara (Nyanza) CS,2
1/1/2022,Gataraga (MUSANZE) CS,14
1/1/2022,Gatare (macuba) CS,25
1/1/2022,Gatare (twumba) CS,8
1/1/2022,Gatebe CS,11
1/1/2022,Gatenga CS,14
1/1/2022,Gatonde CS,4
1/1/2022,Gatonde DH,0
1/1/2022,Gatsata CS,50
1/1/2022,Gatsibo CS,3
1/1/2022,Gatunda DH,0
1/1/2022,Gicumbi Prison,0
1/1/2022,Gihara CS,10
1/1/2022,Giheke CS,1
1/1/2022,Gihinga CS,4
1/1/2022,Gihogwe CS,24
1/1/2022,Gihundwe CS,11
1/1/2022,Gihundwe DH,1
1/1/2022,Gikomero (Kabgayi) CS,18
1/1/2022,Gikomero II CS,569
1/1/2022,Gikondo CS,55
1/1/2022,Gikonko (Gisagara) CS,1
1/1/2022,Gikore CS,13
1/1/2022,Gikundamvura CS,59
1/1/2022,Gisagara CS,7
1/1/2022,Gisakura CS,2
1/1/2022,Gisenyi CS,31
1/1/2022,Gisenyi DH,1
